lider,Agent_ID,nivel,Date,dias_semana,meta,trabalha,count_leads,count_sales,%_meta_ancancada
39,1,5,2077-01-01,Sexta-feira,4.8100000000000005,True,24.0,5.0,1.0395010395010393
39,1,5,2077-01-02,Sábado,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-03,Domingo,0.0,False,25.0,0.0,
39,1,5,2077-01-04,Segunda-feira,4.8100000000000005,True,28.0,6.0,1.2474012474012472
39,1,5,2077-01-05,Terça-feira,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-06,Quarta-feira,0.0,False,21.0,0.0,
39,1,5,2077-01-07,Quinta-feira,4.8100000000000005,True,28.0,6.0,1.2474012474012472
39,1,5,2077-01-08,Sexta-feira,4.8100000000000005,True,25.0,5.0,1.0395010395010393
39,1,5,2077-01-09,Sábado,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-10,Domingo,0.0,False,24.0,0.0,
39,1,5,2077-01-11,Segunda-feira,4.8100000000000005,True,20.0,4.0,0.8316008316008315
39,1,5,2077-01-12,Terça-feira,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-13,Quarta-feira,0.0,False,23.0,0.0,
39,1,5,2077-01-14,Quinta-feira,4.8100000000000005,True,14.0,2.0,0.41580041580041577
39,1,5,2077-01-15,Sexta-feira,4.8100000000000005,True,15.0,2.0,0.41580041580041577
39,1,5,2077-01-16,Sábado,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-17,Domingo,0.0,False,18.0,0.0,
39,1,5,2077-01-18,Segunda-feira,4.8100000000000005,True,23.0,5.0,1.0395010395010393
39,1,5,2077-01-19,Terça-feira,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-20,Quarta-feira,0.0,False,16.0,0.0,
39,1,5,2077-01-21,Quinta-feira,4.8100000000000005,True,28.0,6.0,1.2474012474012472
39,1,5,2077-01-22,Sexta-feira,4.8100000000000005,True,21.0,4.0,0.8316008316008315
39,1,5,2077-01-23,Sábado,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-24,Domingo,0.0,False,0.0,0.0,
39,1,5,2077-01-25,Segunda-feira,4.8100000000000005,True,20.0,4.0,0.8316008316008315
39,1,5,2077-01-26,Terça-feira,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-27,Quarta-feira,0.0,False,17.0,0.0,
39,1,5,2077-01-28,Quinta-feira,4.8100000000000005,True,24.0,5.0,1.0395010395010393
39,1,5,2077-01-29,Sexta-feira,4.8100000000000005,True,20.0,4.0,0.8316008316008315
39,1,5,2077-01-30,Sábado,4.8100000000000005,True,0.0,0.0,0.0
39,1,5,2077-01-31,Domingo,0.0,False,20.0,0.0,
52,2,5,2077-01-01,Sexta-feira,0.0,False,29.0,0.0,
52,2,5,2077-01-02,Sábado,3.9000000000000004,True,22.0,4.0,1.0256410256410255
52,2,5,2077-01-03,Domingo,3.9000000000000004,True,18.0,3.0,0.7692307692307692
52,2,5,2077-01-04,Segunda-feira,3.9000000000000004,True,25.0,5.0,1.282051282051282
52,2,5,2077-01-05,Terça-feira,3.9000000000000004,True,17.0,3.0,0.7692307692307692
52,2,5,2077-01-06,Quarta-feira,3.9000000000000004,True,0.0,0.0,0.0
52,2,5,2077-01-07,Quinta-feira,0.0,False,0.0,0.0,
52,2,5,2077-01-08,Sexta-feira,0.0,False,17.0,0.0,
52,2,5,2077-01-09,Sábado,3.9000000000000004,True,23.0,4.0,1.0256410256410255
52,2,5,2077-01-10,Domingo,3.9000000000000004,True,25.0,5.0,1.282051282051282
52,2,5,2077-01-11,Segunda-feira,3.9000000000000004,True,23.0,4.0,1.0256410256410255
52,2,5,2077-01-12,Terça-feira,3.9000000000000004,True,22.0,4.0,1.0256410256410255
52,2,5,2077-01-13,Quarta-feira,3.9000000000000004,True,0.0,0.0,0.0
52,2,5,2077-01-14,Quinta-feira,0.0,False,0.0,0.0,
52,2,5,2077-01-15,Sexta-feira,0.0,False,19.0,0.0,
52,2,5,2077-01-16,Sábado,3.9000000000000004,True,20.0,4.0,1.0256410256410255
52,2,5,2077-01-17,Domingo,3.9000000000000004,True,26.0,5.0,1.282051282051282
52,2,5,2077-01-18,Segunda-feira,3.9000000000000004,True,23.0,5.0,1.282051282051282
52,2,5,2077-01-19,Terça-feira,3.9000000000000004,True,15.0,2.0,0.5128205128205128
52,2,5,2077-01-20,Quarta-feira,3.9000000000000004,True,0.0,0.0,0.0
52,2,5,2077-01-21,Quinta-feira,0.0,False,0.0,0.0,
52,2,5,2077-01-22,Sexta-feira,0.0,False,19.0,0.0,
52,2,5,2077-01-23,Sábado,3.9000000000000004,True,24.0,5.0,1.282051282051282
52,2,5,2077-01-24,Domingo,0.0,False,0.0,0.0,
52,2,5,2077-01-25,Segunda-feira,3.9000000000000004,True,26.0,5.0,1.282051282051282
52,2,5,2077-01-26,Terça-feira,3.9000000000000004,True,19.0,3.0,0.7692307692307692
52,2,5,2077-01-27,Quarta-feira,3.9000000000000004,True,0.0,0.0,0.0
52,2,5,2077-01-28,Quinta-feira,0.0,False,0.0,0.0,
52,2,5,2077-01-29,Sexta-feira,0.0,False,26.0,0.0,
52,2,5,2077-01-30,Sábado,3.9000000000000004,True,20.0,4.0,1.0256410256410255
52,2,5,2077-01-31,Domingo,3.9000000000000004,True,21.0,4.0,1.0256410256410255
29,3,4,2077-01-01,Sexta-feira,4.625,True,0.0,0.0,0.0
29,3,4,2077-01-02,Sábado,0.0,False,0.0,0.0,
29,3,4,2077-01-03,Domingo,0.0,False,25.0,0.0,
29,3,4,2077-01-04,Segunda-feira,4.625,True,27.0,6.0,1.2972972972972974
29,3,4,2077-01-05,Terça-feira,4.625,True,22.0,4.0,0.8648648648648649
29,3,4,2077-01-06,Quarta-feira,4.625,True,26.0,5.0,1.0810810810810811
29,3,4,2077-01-07,Quinta-feira,4.625,True,23.0,5.0,1.0810810810810811
29,3,4,2077-01-08,Sexta-feira,4.625,True,0.0,0.0,0.0
29,3,4,2077-01-09,Sábado,0.0,False,0.0,0.0,
29,3,4,2077-01-10,Domingo,0.0,False,28.0,0.0,
29,3,4,2077-01-11,Segunda-feira,4.625,True,22.0,4.0,0.8648648648648649
29,3,4,2077-01-12,Terça-feira,4.625,True,28.0,6.0,1.2972972972972974
29,3,4,2077-01-13,Quarta-feira,4.625,True,12.0,2.0,0.43243243243243246
29,3,4,2077-01-14,Quinta-feira,4.625,True,25.0,5.0,1.0810810810810811
29,3,4,2077-01-15,Sexta-feira,4.625,True,0.0,0.0,0.0
29,3,4,2077-01-16,Sábado,0.0,False,0.0,0.0,
29,3,4,2077-01-17,Domingo,0.0,False,22.0,0.0,
29,3,4,2077-01-18,Segunda-feira,4.625,True,14.0,2.0,0.43243243243243246
29,3,4,2077-01-19,Terça-feira,4.625,True,21.0,4.0,0.8648648648648649
29,3,4,2077-01-20,Quarta-feira,4.625,True,23.0,5.0,1.0810810810810811
29,3,4,2077-01-21,Quinta-feira,4.625,True,28.0,6.0,1.2972972972972974
29,3,4,2077-01-22,Sexta-feira,4.625,True,0.0,0.0,0.0
29,3,4,2077-01-23,Sábado,0.0,False,0.0,0.0,
29,3,4,2077-01-24,Domingo,0.0,False,0.0,0.0,
29,3,4,2077-01-25,Segunda-feira,4.625,True,26.0,5.0,1.0810810810810811
29,3,4,2077-01-26,Terça-feira,4.625,True,23.0,5.0,1.0810810810810811
29,3,4,2077-01-27,Quarta-feira,4.625,True,20.0,4.0,0.8648648648648649
29,3,4,2077-01-28,Quinta-feira,4.625,True,24.0,5.0,1.0810810810810811
29,3,4,2077-01-29,Sexta-feira,4.625,True,0.0,0.0,0.0
29,3,4,2077-01-30,Sábado,0.0,False,0.0,0.0,
29,3,4,2077-01-31,Domingo,0.0,False,19.0,0.0,
15,4,5,2077-01-01,Sexta-feira,5.2,True,21.0,4.0,0.7692307692307692
15,4,5,2077-01-02,Sábado,5.2,True,20.0,4.0,0.7692307692307692
15,4,5,2077-01-03,Domingo,5.2,True,0.0,0.0,0.0
15,4,5,2077-01-04,Segunda-feira,0.0,False,23.0,0.0,
15,4,5,2077-01-05,Terça-feira,5.2,True,0.0,0.0,0.0
15,4,5,2077-01-06,Quarta-feira,0.0,False,22.0,0.0,
15,4,5,2077-01-07,Quinta-feira,5.2,True,21.0,4.0,0.7692307692307692
15,4,5,2077-01-08,Sexta-feira,5.2,True,16.0,3.0,0.5769230769230769
