,Agent_ID,Date,sale_id
0,1,2077-01-01,cfcd208495d565ef66e7dff9f98764da
1,1,2077-01-01,c4ca4238a0b923820dcc509a6f75849b
2,1,2077-01-01,c81e728d9d4c2f636f067f89cc14862c
3,1,2077-01-01,eccbc87e4b5ce2fe28308fd9f2a7baf3
4,1,2077-01-01,a87ff679a2f3e71d9181a67b7542122c
9,1,2077-01-03,45c48cce2e2d7fbdea1afc51c7c6ad26
10,1,2077-01-03,d3d9446802a44259755d38e6d163e820
11,1,2077-01-03,6512bd43d9caa6e02c990b0a82652dca
12,1,2077-01-03,c20ad4d76fe97759aa27a0c99bff6710
13,1,2077-01-03,c51ce410c124a10e0db5e4b97fc2af39
14,1,2077-01-04,aab3238922bcc25a6f606eb525ffdc56
15,1,2077-01-04,9bf31c7ff062936a96d3c8bd1f8f2ff3
16,1,2077-01-04,c74d97b01eae257e44aa9d5bade97baf
17,1,2077-01-04,70efdf2ec9b086079795c442636b55fb
18,1,2077-01-04,6f4922f45568161a8cdf4ad2299f6d23
19,1,2077-01-04,1f0e3dad99908345f7439f8ffabdffc4
24,1,2077-01-06,1ff1de774005f8da13f42943881c655f
25,1,2077-01-06,8e296a067a37563370ded05f5a3bf3ec
26,1,2077-01-06,4e732ced3463d06de0ca9a15b6153677
27,1,2077-01-06,02e74f10e0327ad868d138f2b4fdd6f0
28,1,2077-01-07,33e75ff09dd601bbe69f351039152189
29,1,2077-01-07,6ea9ab1baa0efb9e19094440c317e21b
30,1,2077-01-07,34173cb38f07f89ddbebc2ac9128303f
31,1,2077-01-07,c16a5320fa475530d9583c34fd356ef5
32,1,2077-01-07,6364d3f0f495b6ab9dcf8d3b5c6e0b01
33,1,2077-01-07,182be0c5cdcd5072bb1864cdee4d3d6e
34,1,2077-01-08,e369853df766fa44e1ed0ff613f563bd
35,1,2077-01-08,1c383cd30b7c298ab50293adfecb7b18
36,1,2077-01-08,19ca14e7ea6328a42e0eb13d585e4c22
37,1,2077-01-08,a5bfc9e07964f8dddeb95fc584cd965d
38,1,2077-01-08,a5771bce93e200c36f7cd9dfd0e5deaa
43,1,2077-01-10,17e62166fc8586dfa4d1bc0e1742c08b
44,1,2077-01-10,f7177163c833dff4b38fc8d2872f1ec6
45,1,2077-01-10,6c8349cc7260ae62e3b1396831a8398f
46,1,2077-01-10,d9d4f495e875a2e075a1a4a6e1b9770f
47,1,2077-01-10,67c6a1e7ce56d3d6fa748ab6d9af3fd7
48,1,2077-01-11,642e92efb79421734881b53e1e1b18b6
49,1,2077-01-11,f457c545a9ded88f18ecee47145a72c0
50,1,2077-01-11,c0c7c76d30bd3dcaefc96f40275bdc0a
51,1,2077-01-11,2838023a778dfaecdc212708f721b788
56,1,2077-01-13,9f61408e3afb633e50cdf1b20de6f466
57,1,2077-01-13,72b32a1f754ba1c09b3695e0cb6cde7f
58,1,2077-01-13,66f041e16a60928b05a7e228a89c3799
59,1,2077-01-13,093f65e080a295f8076b1c5722a46aa2
60,1,2077-01-14,072b030ba126b2f4b2374f342be9ed44
61,1,2077-01-14,7f39f8317fbdb1988ef4c628eba02591
62,1,2077-01-15,44f683a84163b3523afe57c2e008bc8c
